"COMP","PLOT","timelag_class","estimated_qmd2_cm2","observed_qmd2_cm2"
"A","A-001","100h",16.1915584866366,26.6433333333333
"A","A-001","10h",1.29903968529446,1.11894736842105
"A","A-001","1h",0.0788753904894134,0.090625
"A","A-003","100h",17.6411841142021,16.8566666666667
"A","A-003","10h",1.32993045387994,1.52153846153846
"A","A-003","1h",0.11731149341142,0.129830508474576
"A","A-005","100h",17.5004359150103,16.015
"A","A-005","10h",1.33618368745716,1.87157894736842
"A","A-005","1h",0.115787525702536,0.112461538461538
"A","A-020","100h",15.7467709707823,7.84
"A","A-020","10h",1.31190386427898,2.01
"A","A-020","1h",0.0982111215834119,0.065
"A","A-023","100h",16.1821274477265,13.77
"A","A-023","10h",1.28672253567873,1.37181818181818
"A","A-023","1h",0.0839163624294723,0.111730769230769
"A","A-024","100h",15.3258828768648,14.425
"A","A-024","10h",1.28595858383434,1.89833333333333
"A","A-024","1h",0.0881362725450902,0.0702222222222222
"A","A-025","100h",15.8473997204,17.475
"A","A-025","10h",1.31876223249812,1.77333333333333
"A","A-025","1h",0.0994429508549306,0.0973684210526316
"A","A-028","100h",16.4335043964828,11.965
"A","A-028","10h",1.33824620303757,1.96363636363636
"A","A-028","1h",0.100103916866507,0.116969696969697
"B","B-008","100h",14.4883214591052,14.1966666666667
"B","B-008","10h",1.39264320319179,1.50545454545455
"B","B-008","1h",0.109847534910231,0.0881308411214953
"B","B-010","100h",16.9877133158463,11.5775
"B","B-010","10h",1.39538805739855,0.831818181818182
"B","B-010","1h",0.134008640641876,0.13125
"B","B-013","100h",14.7685429141717,10.24
"B","B-013","10h",1.31387890884897,1.645
"B","B-013","1h",0.0757684630738523,0.0875
"B","B-016","100h",17.2678904847397,13.745
"B","B-016","10h",1.27331956912029,2.098125
"B","B-016","1h",0.0886122082585278,0.0868421052631579
"B","B-026","100h",17.4471954964176,8.41
"B","B-026","10h",1.37962333674514,1.578
"B","B-026","1h",0.152433981576254,0.148571428571429
"C","C-010","100h",17.1900819050508,15.26
"C","C-010","10h",1.32560442893978,2.09923076923077
"C","C-010","1h",0.103051721522827,0.0975652173913044
"C","C-011","100h",17.5439899380805,20.7766666666667
"C","C-011","10h",1.3141060371517,1.85842105263158
"C","C-011","1h",0.0966331269349845,0.135111111111111
"C","C-022","100h",15.2991805009116,14.8
"C","C-022","10h",1.33573553401785,1.16142857142857
"C","C-022","1h",0.108690144899722,0.129090909090909
"C","C-025","100h",16.6512980688497,42.25
"C","C-025","10h",1.35768933669186,1.49583333333333
"C","C-025","1h",0.117833753148615,0.074025974025974
"C","C-026","100h",17.0821932220536,0
"C","C-026","10h",1.30229944360142,1.32315789473684
"C","C-026","1h",0.0997895801719778,0.1225
